time[sec],Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],ATotal[mG],Ts[deg.C],Ts[deg.F],GPIO[hex]
1.799,0.2,-0.2875,-0.325,13.5,-1019.25,-22.5,1019.5877,31.9684,89.5432,600
1.8,-0.0125,-0.275,-0.225,25.375,-979.75,-47.25,981.2169,31.977,89.5586,600
1.801,0.3625,-0.275,-0.2375,35.625,-976.75,-46.125,978.4872,31.9727,89.5509,600
1.802,0.6625,-0.3,-0.175,17.125,-940.25,-3.625,940.4129,31.9684,89.5432,600
1.803,0.2625,-0.1375,-0.1875,34.625,-920,23.5,920.9512,31.9727,89.5509,600
1.804,-0.475,0.0375,-0.225,50.125,-930.125,-8,931.509,31.9727,89.5509,600
1.805,-0.375,0.1375,-0.0625,44.25,-944,-40.5,945.904,31.977,89.5586,600
1.806,0.2125,0.1125,0.2375,34.5,-947.375,-16.875,948.1532,31.9727,89.5509,600
1.807,0.2875,0.0125,0.425,16.125,-931.75,43.125,932.8868,31.977,89.5586,600
1.808,-0.4375,-0.1375,0.4125,18.75,-934.125,64.75,936.5541,31.9684,89.5432,600
1.809,-1.0625,-0.0625,0.375,20.125,-950.125,18.25,950.5133,31.977,89.5586,600
1.81,-0.7875,0.0875,0.4125,-21.25,-940.375,-30,941.0934,31.9684,89.5432,600
1.811,-0.15,0.175,0.375,-9.875,-961.75,-13.375,961.8937,31.977,89.5586,600
1.812,-0.175,-0.025,0.4625,-12.125,-964.25,44.875,965.3698,31.9813,89.5663,600
1.813,-0.9625,-0.15,0.525,-25.25,-1004.125,59,1006.1737,31.9727,89.5509,600
1.814,-1.475,-0.075,0.45,-35.875,-1048.375,2.625,1048.9919,31.9684,89.5432,600
1.815,-0.85,-0.0375,0.4375,-65.875,-1053.75,-40.875,1056.598,31.9684,89.5432,600
1.816,-0.0625,-0.1,0.4,-79.5,-1042.625,-23.125,1045.9072,31.9727,89.5509,600
1.817,-0.25,-0.2125,0.15,-71.375,-1026.125,10.75,1028.6605,31.9727,89.5509,600
1.818,-1.05,-0.25,0.05,-41.75,-1041,-3,1041.8412,31.977,89.5586,600
1.819,-1.0875,-0.2,0.0375,-37.125,-1073.75,-49.875,1075.5486,31.9727,89.5509,600
1.82,-0.3375,-0.2375,-0.1125,-57.125,-1078.75,-72.25,1082.6749,31.977,89.5586,600
1.821,0.2375,-0.3875,-0.35,-56.375,-1058.75,-38.875,1060.9623,31.9727,89.5509,600
1.822,-0.05,-0.475,-0.325,-36.625,-1043.5,-9.625,1044.1869,31.9727,89.5509,600
1.823,-0.6,-0.4,-0.225,31.875,-1044.875,-35.875,1045.9765,31.9684,89.5432,600
1.824,-0.4,-0.2625,-0.1375,10.875,-1057.875,-87.5,1061.5432,31.9727,89.5509,600
1.825,0.4875,-0.0375,-0.2375,7.75,-1039.125,-82.875,1042.4534,31.9684,89.5432,600
1.826,0.85,-0.1375,-0.2625,-11.5,-1002,-33.75,1002.6342,31.9684,89.5432,600
1.827,0.2875,-0.175,-0.3875,39.5,-964.5,-4.375,965.3184,31.9684,89.5432,600
1.828,-0.4375,-0.1125,-0.4,28.25,-957.625,-40,958.8763,31.9727,89.5509,600
1.829,-0.175,-0.0375,-0.35,62,-989.375,-71.75,993.9089,31.977,89.5586,600
1.83,0.65,0.0625,0.05,69.5,-999.5,-43.5,1002.8573,31.9684,89.5432,600
1.831,0.875,0.175,0.3,24.5,-969.875,16.75,970.329,31.977,89.5586,600
1.832,0.05,0.275,0.275,18.75,-946.75,20.875,947.1657,31.9727,89.5509,600
1.833,-0.55,0.2,0.2875,9.25,-953.125,-28.75,953.6034,31.977,89.5586,600
1.834,-0.05,0.175,0.2625,10.125,-939.375,-42.625,940.3961,31.977,89.5586,600
1.835,0.3875,0.25,0.2625,8.125,-938.125,3.875,938.1682,31.9727,89.5509,600
1.836,-0.05,0.35,0.225,-18.25,-946.125,47.375,947.4861,31.9684,89.5432,600
1.837,-0.75,0.35,0.2,-23,-960.5,31.5,961.2916,31.9684,89.5432,600
1.838,-0.8125,0.3125,0.2125,-1.5,-1005.5,-5.5,1005.5162,31.9727,89.5509,600
1.839,-0.2,0.3,0.2875,-29.75,-1046.5,-5.125,1046.9353,31.977,89.5586,600
1.84,0.15,0.225,0.3,-83.375,-1043.25,26.75,1046.9181,31.977,89.5586,600
1.841,-0.2875,0.1,0.2375,-90,-1029.625,38.25,1034.2585,31.977,89.5586,600
1.842,-0.9125,-0.1,0.175,-100,-1021.5,-3.75,1026.3899,31.9727,89.5509,600
1.843,-0.6875,-0.1375,-0.075,-77.875,-1032.875,-56.75,1037.36,31.9727,89.5509,600
1.844,0.1875,-0.175,-0.3,-66,-1029.75,-39.625,1032.6235,31.9684,89.5432,600
1.845,0.4625,-0.2375,-0.35,-53.875,-1030,31.875,1031.9004,31.9727,89.5509,600
1.846,-0.4,-0.3,-0.4,-18.5,-1059.875,46,1061.0341,31.9684,89.5432,600
1.847,-0.975,-0.3,-0.3375,-32.875,-1074.5,-32.125,1075.4827,31.9684,89.5432,600
1.848,-0.1625,-0.3125,-0.3,-50.125,-1062.875,-89.875,1067.8452,31.977,89.5586,600
1.849,0.9875,-0.4,-0.35,-23.375,-1023.125,-46.125,1024.4309,31.9684,89.5432,600
1.85,0.9,-0.525,-0.3875,-18.625,-979.875,27.375,980.4342,31.9684,89.5432,600
1.851,-0.225,-0.4625,-0.5,-13.5,-981.375,23.375,981.7462,31.977,89.5586,600
1.852,-0.65,-0.35,-0.5375,42.25,-1022.875,-47,1024.8255,31.9727,89.5509,600
1.853,0.2,-0.325,-0.275,51.25,-1028.5,-91.75,1033.8553,31.977,89.5586,600
1.854,1.1875,-0.2,-0.1875,42.25,-986.875,-52.375,989.1666,31.9684,89.5432,600
1.855,0.875,-0.075,-0.2125,39.125,-944.625,9.375,945.4814,31.9727,89.5509,600
1.856,-0.25,0.0125,-0.1875,35.625,-938.25,7.875,938.9591,31.9684,89.5432,600
1.857,-0.6,0.0875,-0.1375,44.25,-968.625,-46,970.7257,31.9684,89.5432,600
1.858,0.0625,0.125,-0.0125,36.5,-1010,-71.75,1013.203,31.9642,89.5355,600
1.859,0.8,0.1375,0.1,34.625,-1021.875,-39.375,1023.2193,31.9727,89.5509,600
1.86,0.675,0.1375,0.25,21.75,-996.625,2.25,996.8648,31.9684,89.5432,600
1.861,0.05,0.2125,0.2125,20.375,-973.875,0.25,974.0881,31.9684,89.5432,600
1.862,-0.15,0.325,0.0875,-7.625,-974,-30,974.4917,31.9727,89.5509,600
1.863,0.125,0.3625,0.0125,-0.75,-992.75,-42.375,993.6542,31.9727,89.5509,600
1.864,0.375,0.275,0.0125,-12.875,-1007.5,-11.125,1007.6437,31.977,89.5586,600
1.865,0.1875,0.375,0.05,-30.375,-1022.875,11,1023.385,31.9684,89.5432,600
1.866,-0.2,0.375,0.1125,-50.375,-1032,-11.375,1033.2914,31.977,89.5586,600
1.867,0.05,0.2,0.175,-67.875,-1028.5,-33,1031.2654,31.9727,89.5509,600
1.868,0.5125,0.0625,0.025,-61.625,-1011,-16.375,1013.0088,31.977,89.5586,600
1.869,0.525,0.0875,-0.1,-44.125,-991.375,11.875,992.4275,31.9727,89.5509,600
1.87,0.0625,0.075,-0.1875,-56.875,-984.125,20.5,985.9802,31.9727,89.5509,600
1.871,-0.1625,-0.025,-0.3,-34.75,-993,-3.375,993.6136,31.9727,89.5509,600
1.872,0.1375,-0.05,-0.325,-33,-1000.25,-18.625,1000.9675,31.977,89.5586,600
1.873,0.55,0.05,-0.2375,-35.5,-1006.5,8.125,1007.1586,31.977,89.5586,600
1.874,0.375,-0.025,-0.2125,-22,-1009.625,37.375,1010.5561,31.9684,89.5432,600
1.875,-0.125,-0.3,-0.1375,-20.625,-1003.75,17.125,1004.1079,31.9642,89.5355,600
1.876,-0.125,-0.4125,-0.225,-5.375,-991.75,-26.25,992.1119,31.9684,89.5432,600
1.877,0.3375,-0.325,-0.3,-21.375,-971.25,-32.375,972.0245,31.977,89.5586,600
1.878,0.475,-0.225,-0.375,-15.625,-955.75,0.625,955.8779,31.977,89.5586,600
1.879,0,-0.2625,-0.3375,-2,-958.5,14.5,958.6118,31.977,89.5586,600
1.88,-0.4375,-0.225,-0.275,-1.875,-985.625,-15.875,985.7546,31.977,89.5586,600
1.881,-0.325,-0.125,-0.2125,9.625,-1010.875,-49.125,1012.1137,31.977,89.5586,600
1.882,0.2375,-0.1,-0.0375,4.375,-1004.25,-40,1005.0558,31.977,89.5586,600
1.883,0.3875,-0.125,0.0125,12.875,-991,-4.125,991.0922,31.9727,89.5509,600
1.884,-0.05,-0.1125,-0.0375,14.75,-993.125,-1.25,993.2353,31.9684,89.5432,600
1.885,-0.425,-0.0625,-0.1,10.25,-1006.25,-35,1006.9107,31.977,89.5586,600
1.886,-0.0875,-0.0625,-0.075,3,-1016.25,-54.875,1017.7349,31.977,89.5586,600
1.887,0.3875,-0.05,-0.0625,4.25,-1017,-37.375,1017.6954,31.9727,89.5509,600
1.888,0.4625,0.05,0,6.5,-1017.5,-7.625,1017.5493,31.977,89.5586,600
1.889,0.1625,0.125,0.075,6.5,-1013.875,3.75,1013.9028,31.9684,89.5432,600
1.89,-0.0875,0.15,0.0625,-12.25,-1008.5,-21,1008.793,31.9727,89.5509,600
1.891,0.025,0.15,-0.025,-21.625,-1007.875,-48.125,1009.255,31.977,89.5586,600
1.892,0.4125,0.0875,-0.1375,-26.5,-999.75,-39,1000.8613,31.9727,89.5509,600
1.893,0.5,0,-0.1875,-31,-988.25,-4.375,988.7458,31.977,89.5586,600
1.894,0,0,-0.2,-24.625,-990.25,5.125,990.5694,31.977,89.5586,600
1.895,-0.2625,0.025,-0.175,-21,-1002.125,-21.375,1002.5729,31.977,89.5586,600
1.896,0.075,-0.0375,-0.1625,-14,-1005.25,-35.75,1005.9829,31.977,89.5586,600
1.897,0.4625,-0.025,-0.1125,-5.5,-986.625,-11.875,986.7118,31.9727,89.5509,600
1.898,0.3125,0.025,-0.0875,-7.125,-966.125,25.875,966.4977,31.9684,89.5432,600
1.899,-0.25,0.0125,-0.0375,-7.875,-966.375,26.75,966.7772,31.9684,89.5432,600
1.9,-0.4625,-0.1,0.0125,-17.5,-976.875,-8.125,977.0655,31.9727,89.5509,600
1.901,-0.125,-0.175,0.0125,-13,-987.5,-30.875,988.0681,31.977,89.5586,600
1.902,0.3375,-0.1125,0.0125,-5.25,-982.25,-7.75,982.2946,31.9684,89.5432,600
1.903,0.25,-0.05,0.0125,-7.75,-971.875,24.25,972.2084,31.9727,89.5509,600
1.904,-0.275,-0.0125,0.0625,-1.125,-971.25,15.875,971.3804,31.9684,89.5432,600
1.905,-0.4375,-0.05,0.2125,-1.25,-980,-23.125,980.2736,31.9684,89.5432,600
1.906,-0.15,0.0125,0.225,-1.125,-991.125,-37.625,991.8395,31.9727,89.5509,600
1.907,0.1625,0.025,0.0875,-7,-993.875,-9.125,993.9415,31.9727,89.5509,600
1.908,-0.1,0.025,-0.0125,-16.5,-996.125,14.75,996.3708,31.9684,89.5432,600
1.909,-0.65,0.025,-0.0625,-3.5,-1020.125,-5.25,1020.1445,31.9727,89.5509,600
1.91,-0.5375,-0.0375,0.0375,-6.875,-1039,-48.5,1040.1541,31.977,89.5586,600
1.911,0.1875,-0.0625,0.175,-11.5,-1042.875,-51.375,1044.203,31.9684,89.5432,600
1.912,0.6125,-0.0375,0.25,-19.125,-1015.5,-2,1015.682,31.9684,89.5432,600
1.913,0.0625,0.0375,0.1875,-23.75,-1006.25,13.25,1006.6174,31.977,89.5586,600
1.914,-0.4875,-0.0125,0.0125,-12.375,-1017,-11.125,1017.1361,31.9727,89.5509,600
1.915,-0.3,-0.075,-0.025,-31.375,-1021.5,-60.25,1023.7562,31.9727,89.5509,600
1.916,0.425,-0.025,-0.125,-15.625,-1020.625,-38.125,1021.4563,31.9684,89.5432,600
1.917,0.55,-0.05,-0.075,-49.75,-999.875,1.625,1001.1132,31.9727,89.5509,600
1.918,0.025,0.0375,-0.3125,3.5,-1002.125,13.25,1002.2187,31.9684,89.5432,600
1.919,-0.425,-0.0375,-0.3375,-13.125,-1013.125,-31.75,1013.7074,31.9727,89.5509,600
1.92,0.0125,0.0875,-0.375,1.5,-1021.375,-61.25,1023.211,31.9684,89.5432,600
1.921,0.75,-0.0125,-0.275,-31.75,-1002.5,-24,1003.2897,31.9684,89.5432,600
1.922,0.6625,-0.05,-0.225,-19.25,-977.375,25.375,977.8938,31.9727,89.5509,600
1.923,-0.0875,-0.05,-0.1875,7,-968,26.375,968.3846,31.9642,89.5355,600
1.924,-0.5375,-0.125,-0.1,-2.375,-980.25,-27.75,980.6456,31.9684,89.5432,600
1.925,0.0375,-0.0375,-0.15,4.875,-984.875,-46.25,985.9724,31.9727,89.5509,600
1.926,0.575,0,-0.1625,-19.125,-976.375,-10.875,976.6228,31.9727,89.5509,600
1.927,0.275,0.1,-0.225,7.375,-968.625,28.375,969.0686,31.9727,89.5509,600
1.928,-0.4875,0.0875,-0.2,-0.125,-975.75,7.125,975.776,31.9727,89.5509,600
1.929,-0.575,0.075,-0.15,6.25,-994.125,-39.5,994.9291,31.9727,89.5509,600
1.93,0.05,-0.0625,0.05,-28.875,-1007.5,-42.625,1008.8146,31.9727,89.5509,600
1.931,0.375,-0.1875,0.2,-28.25,-1018.625,-5.125,1019.0295,31.9727,89.5509,600
1.932,0.0375,-0.2125,0.1375,-33,-1018.375,13.5,1018.999,31.9684,89.5432,600
1.933,-0.425,-0.15,-0.0375,-25.125,-1022.625,-25.125,1023.2421,31.9727,89.5509,600
1.934,-0.1875,-0.1375,-0.1875,-14.875,-1030.625,-55.625,1032.2322,31.977,89.5586,600
1.935,0.3875,-0.05,-0.175,-26.25,-1023,-41.375,1024.1728,31.9684,89.5432,600
1.936,0.4375,0.025,-0.2875,-10.75,-1011.375,4.375,1011.4416,31.9684,89.5432,600
1.937,-0.1375,-0.05,-0.325,-25.25,-1006.625,0.25,1006.9417,31.977,89.5586,600
1.938,-0.3375,-0.125,-0.3375,2.125,-1017.75,-39.5,1018.5184,31.9684,89.5432,600
1.939,0.2125,-0.1625,-0.25,-16.625,-1012.75,-53,1014.2721,31.9684,89.5432,600
1.94,0.775,-0.0875,-0.1875,-7.375,-988.625,-9,988.6935,31.9684,89.5432,600
1.941,0.4125,-0.0625,-0.2125,-4.75,-971.875,22.875,972.1558,31.9727,89.5509,600
1.942,-0.2125,-0.075,-0.3,6.875,-975.375,-5.625,975.4154,31.977,89.5586,600
1.943,-0.1375,-0.025,-0.375,9.75,-986.125,-49.125,987.396,31.9684,89.5432,600
1.944,0.575,0.075,-0.2625,19.125,-982.625,-35.75,983.4611,31.9727,89.5509,600
